episode,timestep,reward
3,3000,-91.5589
6,6000,-77.8824
8,9000,-63.6561
15,12000,-100.7385
18,15000,-80.7478
21,18000,-79.1446
24,21000,-79.3574
26,24000,-59.1773
29,27000,-77.3851
31,30000,-63.7704
33,33000,-63.2397
36,36000,-80.0407
40,39000,-88.0059
43,42000,-74.1351
45,45000,-61.9159
48,48000,-77.8892
50,51000,-61.4932
55,54000,-93.8177
58,57000,-74.8812
60,60000,-58.8543
62,63000,-68.069
64,66000,-61.5987
66,69000,-58.1042
68,72000,-65.9978
71,75000,-75.123
73,78000,-66.907
78,81000,-86.7051
80,84000,-61.1057
82,87000,-65.0112
84,90000,-57.6622
86,93000,-65.9174
88,96000,-57.5118
90,99000,-56.9999
92,102000,-52.5314
95,105000,-74.5219
97,108000,-49.5172
100,111000,-65.2107
102,114000,-50.0669
104,117000,-41.7358
106,120000,-44.3987
108,123000,-38.792
111,126000,-59.5165
113,129000,-44.1389
116,132000,-65.1459
118,135000,-42.7636
120,138000,-29.9499
122,141000,-37.5618
124,144000,-32.3397
126,147000,-24.616
128,150000,-31.4798
130,153000,-21.8409
132,156000,-25.0894
134,159000,-23.5032
136,162000,-33.799
138,165000,-12.3398
140,168000,-24.6943
142,171000,-13.7883
144,174000,-10.2389
146,177000,-11.7365
148,180000,-10.4546
150,183000,-0.0957
152,186000,-10.9449
154,189000,-9.8577
156,192000,-4.049
158,195000,2.0306
160,198000,-0.7992
162,201000,-1.121
164,204000,12.2071
166,207000,11.9897
168,210000,23.1892
170,213000,13.3579
172,216000,26.0798
174,219000,23.0021
176,222000,30.4645
178,225000,19.352
181,228000,-22.2037
183,231000,27.8257
185,234000,35.4615
187,237000,23.8281
189,240000,34.166
191,243000,35.1034
193,246000,37.9417
195,249000,38.0318
197,252000,49.7575
199,255000,62.2317
201,258000,-12.2634
204,261000,4.4606
206,264000,57.2824
208,267000,62.756
210,270000,57.8421
212,273000,15.4473
214,276000,68.0095
216,279000,65.0929
220,282000,-22.9786
222,285000,74.0621
224,288000,65.8989
228,291000,-19.6477
230,294000,79.5559
232,297000,85.2078
234,300000,70.3592
236,303000,89.2114
239,306000,15.7936
241,309000,81.3462
243,312000,29.2532
245,315000,95.5159
247,318000,87.465
249,321000,42.6738
252,324000,27.1432
254,327000,74.0181
256,330000,80.6733
258,333000,8.7045
260,336000,103.9436
262,339000,105.9671
264,342000,90.1897
266,345000,97.7184
268,348000,92.6383
270,351000,116.1598
272,354000,123.9957
274,357000,122.4606
277,360000,59.0023
279,363000,108.5987
281,366000,123.8198
284,369000,41.0963
286,372000,103.1228
288,375000,119.641
291,378000,-27.0661
293,381000,115.9805
295,384000,25.6944
297,387000,128.0582
299,390000,112.8976
302,393000,2.1592
305,396000,89.4631
307,399000,123.683
309,402000,127.8302
311,405000,134.8672
313,408000,109.5083
315,411000,23.6818
317,414000,134.66
319,417000,126.4705
321,420000,117.8119
323,423000,121.2515
326,426000,43.6472
328,429000,58.0243
330,432000,69.4742
332,435000,145.747
334,438000,134.3567
336,441000,145.6286
338,444000,125.4075
340,447000,139.4514
342,450000,119.5636
345,453000,85.7405
348,456000,59.2995
350,459000,31.5406
352,462000,140.3333
354,465000,141.2277
357,468000,61.7343
359,471000,156.4399
361,474000,141.7807
364,477000,80.7602
366,480000,38.8897
368,483000,139.0087
370,486000,152.4868
372,489000,147.8134
374,492000,144.7755
377,495000,94.0665
379,498000,149.1972
381,501000,78.3339
383,504000,166.7066
385,507000,167.3411
387,510000,142.3218
389,513000,113.9229
391,516000,168.4886
393,519000,72.613
395,522000,162.8602
398,525000,112.8714
401,528000,9.2915
404,531000,107.7883
406,534000,56.2986
408,537000,102.2313
410,540000,170.8116
413,543000,101.5988
415,546000,76.2206
417,549000,179.9196
419,552000,157.5469
421,555000,162.9797
423,558000,175.988
426,561000,78.2877
428,564000,158.4726
430,567000,179.496
433,570000,105.8423
435,573000,161.385
438,576000,28.4853
440,579000,180.908
442,582000,91.9773
445,585000,50.1689
447,588000,82.3736
449,591000,169.4514
452,594000,58.0264
454,597000,174.3267
457,600000,33.7232
459,603000,171.0045
461,606000,82.3845
464,609000,76.9578
466,612000,148.2924
468,615000,180.6319
470,618000,174.4232
473,621000,112.1093
475,624000,177.2489
477,627000,180.7125
479,630000,177.8162
483,633000,-5.1383
485,636000,75.1769
487,639000,164.2326
490,642000,114.8272
494,645000,13.772
496,648000,105.3462
499,651000,-7.5453
501,654000,176.8163
504,657000,62.6139
506,660000,173.7115
508,663000,113.7427
510,666000,187.8502
513,669000,104.0264
515,672000,75.7362
517,675000,177.8569
521,678000,-17.8271
523,681000,197.8128
526,684000,34.6375
528,687000,179.3338
530,690000,188.1532
532,693000,67.3298
535,696000,124.9533
537,699000,110.3939
539,702000,168.2004
542,705000,88.3269
544,708000,79.1167
546,711000,184.3261
548,714000,169.1221
550,717000,184.9872
552,720000,182.8883
555,723000,37.1898
557,726000,184.6654
559,729000,193.1644
563,732000,63.5785
566,735000,-12.7425
568,738000,53.8518
570,741000,187.9982
573,744000,122.7251
575,747000,195.5297
578,750000,88.3377
581,753000,97.2027
583,756000,187.5926
585,759000,88.8032
587,762000,185.3996
589,765000,190.5152
591,768000,190.0618
594,771000,124.8989
596,774000,200.8804
598,777000,125.8936
600,780000,198.8527
602,783000,194.0635
604,786000,114.0056
608,789000,8.5814
610,792000,196.3914
612,795000,196.1634
614,798000,61.4045
616,801000,203.5086
618,804000,204.758
620,807000,182.8934
622,810000,185.0332
624,813000,186.5785
627,816000,110.7083
629,819000,206.2935
631,822000,211.1303
633,825000,212.8227
635,828000,208.6086
637,831000,204.6671
639,834000,211.4664
641,837000,212.1376
644,840000,110.5258
646,843000,116.638
648,846000,186.2553
650,849000,214.2529
653,852000,158.1325
656,855000,41.0861
659,858000,120.9628
662,861000,94.8159
664,864000,126.9648
666,867000,211.109
668,870000,213.1076
670,873000,212.5195
672,876000,150.1315
674,879000,213.236
676,882000,202.4208
679,885000,108.2264
681,888000,211.3831
683,891000,213.4543
685,894000,88.4176
688,897000,150.1151
691,900000,50.9516
693,903000,227.1249
695,906000,224.6619
697,909000,223.9776
699,912000,222.1299
701,915000,158.7127
704,918000,112.0083
707,921000,107.56
709,924000,217.9808
711,927000,207.1311
713,930000,221.7067
716,933000,106.9376
718,936000,227.9174
720,939000,239.0159
722,942000,231.1122
724,945000,157.0954
726,948000,221.7685
728,951000,222.5503
730,954000,139.9495
733,957000,68.5936
735,960000,233.9608
738,963000,127.3205
740,966000,147.4254
742,969000,139.0812
745,972000,123.5526
747,975000,106.601
750,978000,130.3095
752,981000,231.0136
755,984000,113.7117
757,987000,221.702
759,990000,226.3702
761,993000,243.3095
763,996000,157.2909
765,999000,219.1366
767,1002000,228.8865
770,1005000,77.9541
772,1008000,244.5381
774,1011000,88.302
776,1014000,237.2751
778,1017000,239.1452
780,1020000,246.6115
783,1023000,125.5401
786,1026000,121.1849
789,1029000,127.8307
791,1032000,235.1543
793,1035000,237.801
795,1038000,251.5948
798,1041000,42.6591
801,1044000,246.729
805,1047000,1.0624
808,1050000,2.1314
811,1053000,118.0575
813,1056000,231.3349
815,1059000,236.9053
817,1062000,161.2496
820,1065000,175.899
822,1068000,152.4868
825,1071000,99.3448
827,1074000,236.1333
830,1077000,125.8299
832,1080000,222.0434
834,1083000,144.3193
836,1086000,130.9142
839,1089000,146.2604
841,1092000,155.5387
844,1095000,128.1665
847,1098000,102.1671
849,1101000,220.4169
851,1104000,117.5165
853,1107000,223.4694
856,1110000,85.5059
858,1113000,249.8205
860,1116000,220.7276
862,1119000,227.8009
864,1122000,227.1139
867,1125000,161.1046
869,1128000,235.7932
871,1131000,132.147
873,1134000,245.3632
875,1137000,236.3569
877,1140000,243.6927
879,1143000,249.9963
881,1146000,234.8791
883,1149000,243.3989
886,1152000,152.1957
888,1155000,84.7106
890,1158000,250.052
892,1161000,243.8251
895,1164000,146.437
897,1167000,249.5929
899,1170000,246.6855
901,1173000,239.7667
904,1176000,166.3945
906,1179000,240.0836
908,1182000,241.5676
910,1185000,147.2616
913,1188000,150.214
915,1191000,252.4216
917,1194000,249.1096
919,1197000,246.4327
921,1200000,246.393
923,1203000,249.038
926,1206000,60.9683
928,1209000,246.3402
930,1212000,125.0732
932,1215000,234.0605
934,1218000,249.0739
937,1221000,140.6471
939,1224000,247.0093
941,1227000,227.5928
944,1230000,168.42
946,1233000,244.1372
948,1236000,189.3137
951,1239000,132.293
953,1242000,230.0377
955,1245000,251.6285
957,1248000,133.2182
959,1251000,256.0596
961,1254000,260.7763
963,1257000,170.131
965,1260000,252.6998
968,1263000,204.0355
971,1266000,138.8805
973,1269000,194.4851
976,1272000,70.4809
979,1275000,65.1879
981,1278000,256.595
983,1281000,254.8044
985,1284000,258.597
989,1287000,93.572
991,1290000,160.0924
993,1293000,257.9238
995,1296000,254.8669
997,1299000,189.3006
999,1302000,255.403
1001,1305000,251.3619
1003,1308000,173.611
1007,1311000,106.6324
1009,1314000,252.8208
1011,1317000,260.4388
1013,1320000,259.0311
1016,1323000,147.4562
1018,1326000,162.6614
1021,1329000,142.8321
1023,1332000,256.4447
1027,1335000,46.2422
1029,1338000,259.4225
1032,1341000,128.8596
1034,1344000,254.011
1036,1347000,175.211
1039,1350000,131.6928
1042,1353000,147.7486
1044,1356000,257.2114
1046,1359000,194.3434
1048,1362000,260.41
1050,1365000,129.3889
1052,1368000,253.4551
1054,1371000,194.5034
1056,1374000,74.7773
1059,1377000,190.2005
1061,1380000,256.5643
1063,1383000,256.8602
1067,1386000,6.0483
1070,1389000,76.5225
1074,1392000,34.128
1076,1395000,248.8287
1080,1398000,59.4016
1083,1401000,81.4709
1085,1404000,149.7991
1087,1407000,255.6385
1089,1410000,258.8427
1091,1413000,256.7297
1094,1416000,211.147
1096,1419000,41.889
1099,1422000,165.8517
1102,1425000,164.6265
1105,1428000,52.6734
1108,1431000,94.4814
1111,1434000,158.048
1113,1437000,158.1052
1116,1440000,133.0667
1120,1443000,10.7598
1123,1446000,25.0998
1126,1449000,118.8618
1129,1452000,27.9445
1131,1455000,260.3085
1134,1458000,255.9451
1136,1461000,124.4402
1138,1464000,260.009
1141,1467000,161.3782
1144,1470000,108.245
1146,1473000,118.1764
1149,1476000,192.3359
1152,1479000,114.9239
1154,1482000,260.5655
1156,1485000,120.9263
1159,1488000,149.7909
1161,1491000,252.9401
1164,1494000,172.4707
1167,1497000,8.8915
1169,1500000,169.3435
1171,1503000,251.1668
1174,1506000,217.7521
1176,1509000,130.4989
1178,1512000,261.7311
1180,1515000,260.19
1182,1518000,258.6739
1185,1521000,151.1331
1189,1524000,80.7761
1191,1527000,265.8051
1193,1530000,253.5997
1196,1533000,92.2369
