episode,timestep,reward
39,800,20.3846
70,1600,25.4839
102,2400,25.4062
139,3200,21.6486
159,4000,39.65
184,4800,31.52
201,5600,47.9412
218,6400,45.4706
227,7200,77.7778
234,8000,117.0
238,8800,217.5
246,9600,98.875
252,10400,123.3333
255,11200,255.0
259,12000,212.75
262,12800,260.3333
266,13600,225.75
270,14400,182.0
274,15200,220.75
279,16000,149.0
282,16800,163.3333
285,17600,349.0
288,18400,277.3333
291,19200,235.0
295,20000,187.25
299,20800,250.25
302,21600,207.6667
305,22400,274.0
308,23200,276.6667
310,24000,348.5
313,24800,328.6667
315,25600,394.5
317,26400,300.5
319,27200,400.0
322,28000,312.0
325,28800,255.6667
327,29600,400.0
330,30400,311.6667
332,31200,354.5
334,32000,400.0
336,32800,400.0
339,33600,296.6667
341,34400,370.5
343,35200,367.0
346,36000,231.3333
349,36800,343.3333
351,37600,339.0
353,38400,322.5
356,39200,289.3333
359,40000,298.0
361,40800,357.5
363,41600,400.0
365,42400,400.0
368,43200,342.0
370,44000,399.5
372,44800,333.5
374,45600,400.0
376,46400,400.0
378,47200,400.0
380,48000,400.0
382,48800,400.0
384,49600,400.0
386,50400,400.0
388,51200,400.0
390,52000,358.5
392,52800,400.0
394,53600,400.0
397,54400,335.0
399,55200,367.0
401,56000,400.0
403,56800,392.0
405,57600,400.0
407,58400,347.5
409,59200,400.0
411,60000,314.5
413,60800,400.0
416,61600,272.0
418,62400,400.0
420,63200,400.0
422,64000,400.0
425,64800,367.6667
427,65600,314.0
429,66400,389.5
432,67200,344.0
434,68000,396.5
436,68800,301.0
438,69600,400.0
441,70400,325.3333
443,71200,246.5
446,72000,363.3333
448,72800,400.0
450,73600,358.5
453,74400,275.6667
455,75200,382.5
457,76000,400.0
459,76800,400.0
461,77600,400.0
463,78400,400.0
465,79200,400.0
467,80000,400.0
469,80800,400.0
471,81600,400.0
473,82400,304.0
475,83200,400.0
478,84000,288.6667
480,84800,400.0
482,85600,353.5
484,86400,400.0
486,87200,400.0
489,88000,392.0
491,88800,400.0
493,89600,320.0
495,90400,338.5
498,91200,345.3333
500,92000,400.0
502,92800,400.0
504,93600,400.0
506,94400,267.5
508,95200,400.0
510,96000,400.0
513,96800,336.6667
515,97600,400.0
517,98400,400.0
519,99200,400.0
521,100000,400.0
