episode,timestep,reward
6,600,-233.9904
11,1200,-238.2755
17,1800,-147.2935
23,2400,-160.4383
29,3000,-277.9059
35,3600,-289.3977
42,4200,-191.8234
49,4800,-158.3155
56,5400,-141.5163
62,6000,-185.7363
67,6600,-156.3556
73,7200,-120.3945
79,7800,-133.2083
85,8400,-194.7334
89,9000,-177.153
95,9600,-94.5113
101,10200,-60.6072
107,10800,-52.4971
112,11400,-153.0949
117,12000,-95.506
123,12600,-62.6918
128,13200,-29.7547
133,13800,-50.3361
137,14400,-200.4472
141,15000,-82.1149
145,15600,-107.5058
150,16200,-107.2766
154,16800,-53.2592
158,17400,-87.2713
161,18000,-92.061
166,18600,-18.0113
169,19200,-51.8155
173,19800,-8.9411
178,20400,-8.0101
182,21000,4.2513
185,21600,9.4478
188,22200,19.7169
191,22800,57.1768
193,23400,31.2226
196,24000,50.1077
198,24600,-19.4896
202,25200,-37.6291
205,25800,82.1155
208,26400,44.6921
211,27000,-65.0271
215,27600,-52.2882
218,28200,13.4458
221,28800,60.2909
224,29400,1.2856
227,30000,10.2353
229,30600,74.2005
231,31200,17.8164
233,31800,-46.2727
235,32400,88.6448
237,33000,42.5846
240,33600,10.0273
242,34200,53.5558
245,34800,23.7123
248,35400,25.2974
250,36000,14.1483
252,36600,-68.1821
255,37200,27.3088
257,37800,65.4385
260,38400,58.3178
263,39000,10.3617
265,39600,86.4204
268,40200,67.3642
270,40800,36.308
273,41400,58.5658
276,42000,6.4105
278,42600,93.0352
280,43200,87.0331
282,43800,108.0674
285,44400,26.8418
288,45000,51.103
290,45600,80.0708
292,46200,17.326
294,46800,82.8163
296,47400,107.1481
298,48000,19.8021
300,48600,56.87
302,49200,-71.6397
305,49800,24.9378
309,50400,14.3429
311,51000,157.9341
313,51600,59.8504
316,52200,17.0509
319,52800,71.0305
321,53400,-8.0868
323,54000,86.7162
326,54600,23.0103
328,55200,80.9966
330,55800,117.7438
332,56400,53.1669
334,57000,69.0734
336,57600,94.4713
339,58200,-8.0946
341,58800,0.131
343,59400,48.272
345,60000,91.651
348,60600,60.4807
350,61200,66.5272
352,61800,130.9388
354,62400,30.004
357,63000,-8.9567
360,63600,14.257
362,64200,201.3569
365,64800,63.1017
367,65400,78.9902
369,66000,116.9885
371,66600,56.927
373,67200,61.1937
375,67800,21.4793
377,68400,91.2179
379,69000,-34.1474
383,69600,-10.4602
386,70200,-20.8238
388,70800,35.294
391,71400,15.6122
394,72000,-10.6745
396,72600,80.171
399,73200,63.8125
402,73800,5.9649
404,74400,69.9518
408,75000,4.3893
411,75600,97.9607
413,76200,129.3208
415,76800,88.7709
417,77400,151.5766
420,78000,53.4445
422,78600,206.6387
424,79200,148.0703
427,79800,68.5277
430,80400,34.6054
433,81000,46.4313
435,81600,118.0976
437,82200,85.0755
439,82800,116.8672
441,83400,-4.1688
443,84000,40.2355
445,84600,64.5289
448,85200,109.7232
451,85800,52.4349
454,86400,27.1602
456,87000,-2.9869
459,87600,78.9125
461,88200,73.1333
463,88800,23.2518
465,89400,35.0345
467,90000,93.1543
469,90600,81.406
472,91200,85.9091
474,91800,93.4886
476,92400,59.1414
478,93000,6.9859
480,93600,73.0852
482,94200,87.9585
484,94800,-0.2304
486,95400,105.2856
488,96000,84.9598
490,96600,50.8107
492,97200,117.2661
494,97800,151.9035
496,98400,131.8083
498,99000,130.9107
500,99600,41.1189
502,100200,85.7688
505,100800,70.9389
507,101400,115.7867
509,102000,151.3175
511,102600,140.423
513,103200,121.4654
515,103800,54.0737
518,104400,62.7738
520,105000,98.2971
522,105600,129.0481
524,106200,163.3318
527,106800,83.2014
529,107400,106.7849
532,108000,93.5189
535,108600,34.9103
537,109200,115.433
539,109800,-17.5355
541,110400,85.184
543,111000,50.398
545,111600,68.2019
547,112200,182.4888
550,112800,132.4761
552,113400,46.3694
554,114000,43.3176
558,114600,44.4845
560,115200,52.9415
562,115800,20.9316
565,116400,13.7316
568,117000,17.211
570,117600,114.8903
572,118200,21.0358
575,118800,22.594
577,119400,94.154
579,120000,213.905
581,120600,83.4723
583,121200,117.1686
585,121800,120.7971
588,122400,-15.0665
590,123000,63.9283
592,123600,94.6495
594,124200,16.8677
596,124800,63.9939
598,125400,85.4439
600,126000,96.553
602,126600,83.3831
604,127200,61.9494
606,127800,166.9485
609,128400,100.8622
611,129000,181.7955
613,129600,96.9747
616,130200,33.171
618,130800,45.8519
620,131400,52.6494
622,132000,96.6907
625,132600,60.6483
627,133200,96.1971
629,133800,190.6382
631,134400,15.9501
633,135000,46.2019
636,135600,39.2545
639,136200,15.5011
641,136800,-29.0441
643,137400,12.5457
645,138000,59.5741
648,138600,105.0284
650,139200,71.3359
652,139800,76.2626
655,140400,14.1599
657,141000,84.7814
659,141600,22.5492
661,142200,149.5967
663,142800,128.3731
665,143400,133.3039
668,144000,131.123
670,144600,35.1657
673,145200,136.5762
675,145800,48.4117
678,146400,36.0363
680,147000,37.641
682,147600,109.3844
684,148200,74.3422
687,148800,108.1064
689,149400,186.3181
691,150000,38.9201
693,150600,86.0177
695,151200,131.8684
698,151800,112.6006
700,152400,132.3643
702,153000,92.947
704,153600,163.1325
706,154200,91.1538
709,154800,72.8701
711,155400,46.9464
713,156000,82.8985
715,156600,81.7108
718,157200,54.2264
720,157800,184.7312
722,158400,105.5917
724,159000,184.3814
728,159600,7.8496
730,160200,68.5955
732,160800,80.8507
734,161400,99.7367
736,162000,164.5528
738,162600,29.5454
741,163200,118.9478
743,163800,137.0512
745,164400,69.3694
747,165000,135.1417
750,165600,86.0025
752,166200,99.5975
755,166800,66.735
758,167400,122.3645
760,168000,66.9756
762,168600,139.6021
765,169200,29.0873
767,169800,62.737
770,170400,54.0841
772,171000,81.5463
774,171600,68.6344
776,172200,128.3263
779,172800,116.591
781,173400,103.8155
783,174000,70.7364
785,174600,126.5636
787,175200,155.6337
789,175800,112.3415
791,176400,123.7986
793,177000,174.1075
795,177600,174.1378
797,178200,190.113
799,178800,115.4355
802,179400,95.9637
804,180000,134.4502
806,180600,114.2258
808,181200,157.4891
810,181800,124.9138
813,182400,101.3562
815,183000,170.3143
817,183600,171.0191
819,184200,172.5928
821,184800,189.2675
823,185400,151.5135
825,186000,74.8724
827,186600,159.2451
829,187200,139.6282
831,187800,158.1115
834,188400,110.3493
836,189000,165.8676
838,189600,165.521
840,190200,165.2212
843,190800,74.6346
845,191400,98.3603
847,192000,158.6516
850,192600,114.7297
853,193200,71.9485
855,193800,172.2886
857,194400,120.4657
859,195000,161.1798
861,195600,146.6542
863,196200,84.9363
866,196800,45.1573
868,197400,200.566
871,198000,112.4239
873,198600,120.6296
876,199200,135.53
879,199800,116.7917
881,200400,199.6175
883,201000,183.7864
885,201600,97.0551
888,202200,193.6241
891,202800,-8.168
895,203400,49.3223
898,204000,36.8895
901,204600,24.9934
904,205200,136.0953
908,205800,19.0908
910,206400,79.1661
913,207000,34.3653
915,207600,16.0969
917,208200,151.4607
920,208800,114.1113
923,209400,136.9545
925,210000,151.0413
928,210600,60.0368
930,211200,226.0072
932,211800,132.9523
934,212400,159.2235
936,213000,74.7559
939,213600,166.3162
941,214200,77.3584
944,214800,117.8532
946,215400,150.4444
949,216000,101.7936
951,216600,55.645
953,217200,113.018
956,217800,99.9801
958,218400,127.5142
961,219000,51.441
964,219600,112.2299
966,220200,58.5816
968,220800,111.1594
970,221400,156.9444
973,222000,111.8844
976,222600,58.1937
978,223200,126.6787
980,223800,208.5568
983,224400,143.491
986,225000,126.946
988,225600,161.4787
990,226200,145.955
992,226800,92.7955
994,227400,204.5067
996,228000,90.9824
999,228600,87.3316
1001,229200,151.9997
1004,229800,70.1227
1007,230400,135.8109
1009,231000,70.3263
1011,231600,139.6096
1013,232200,160.3162
1016,232800,124.6669
1019,233400,65.9228
1021,234000,180.3861
1023,234600,47.7243
1025,235200,129.3877
1027,235800,177.2012
1029,236400,158.0267
1032,237000,84.7611
1034,237600,168.8171
1036,238200,104.1169
1038,238800,150.7753
1040,239400,191.8549
1043,240000,99.7261
1045,240600,173.8635
1047,241200,135.6777
1049,241800,84.2862
1051,242400,148.4283
1053,243000,150.6896
1055,243600,139.2561
1057,244200,124.3611
1059,244800,155.4181
1061,245400,161.9381
1063,246000,140.6283
1066,246600,108.5343
1068,247200,156.9223
1070,247800,176.5199
1073,248400,38.9179
1077,249000,40.8671
1079,249600,120.9973
1081,250200,164.6201
1084,250800,36.0552
1086,251400,80.9089
1088,252000,151.4895
1092,252600,94.0741
1094,253200,135.2693
1096,253800,111.4927
1098,254400,65.4866
1100,255000,178.2896
1104,255600,90.3152
1106,256200,72.5466
1108,256800,138.737
1111,257400,100.2189
1113,258000,156.5271
1115,258600,95.8189
1118,259200,108.002
1120,259800,176.4916
1122,260400,161.813
1125,261000,115.1274
1127,261600,89.2269
1129,262200,143.8674
1131,262800,166.9428
1134,263400,114.4205
1136,264000,160.0815
1138,264600,71.6463
1141,265200,64.8209
1144,265800,123.8331
1146,266400,142.618
1148,267000,173.2448
1151,267600,119.4914
1153,268200,180.3831
1156,268800,152.9678
1159,269400,75.9669
1161,270000,153.3684
1163,270600,129.6677
1165,271200,79.8589
1168,271800,101.5892
1170,272400,118.9176
1172,273000,70.7847
1174,273600,167.546
1176,274200,145.7022
1178,274800,153.6839
1180,275400,152.9166
1182,276000,163.7885
1184,276600,142.1994
1186,277200,182.4058
1189,277800,85.7633
1192,278400,117.892
1194,279000,166.8304
1196,279600,92.6096
1200,280200,79.3141
1202,280800,174.1477
1205,281400,74.1327
1208,282000,63.3603
1211,282600,49.5168
1213,283200,152.03
1215,283800,141.2101
1217,284400,153.2068
1219,285000,137.7664
1222,285600,99.3291
