episode,timestep,reward
15,800,-10.3135
31,1600,-11.6124
47,2400,-10.7332
63,3200,-11.8434
79,4000,-9.8913
95,4800,-10.0009
111,5600,-8.7148
127,6400,-9.6972
143,7200,-9.2776
159,8000,-8.3344
175,8800,-8.0172
191,9600,-7.5673
207,10400,-7.8169
223,11200,-7.1867
239,12000,-7.996
255,12800,-7.4726
271,13600,-6.6044
287,14400,-6.5746
303,15200,-7.3691
319,16000,-7.8558
335,16800,-6.1518
351,17600,-7.3204
367,18400,-6.2258
383,19200,-6.3244
399,20000,-6.9121
415,20800,-6.46
431,21600,-5.6042
447,22400,-5.8212
463,23200,-5.461
479,24000,-5.077
495,24800,-5.9155
511,25600,-4.8635
527,26400,-4.7765
543,27200,-5.0245
559,28000,-4.9121
575,28800,-4.8914
591,29600,-4.5819
607,30400,-4.5517
623,31200,-3.7629
639,32000,-5.2504
655,32800,-4.3668
671,33600,-4.4255
687,34400,-4.3539
703,35200,-4.6677
719,36000,-4.1369
735,36800,-4.4739
751,37600,-3.7791
767,38400,-3.9451
783,39200,-3.6649
799,40000,-4.0634
815,40800,-3.4221
831,41600,-3.449
847,42400,-3.4869
863,43200,-3.4593
879,44000,-3.6857
895,44800,-3.7071
911,45600,-3.311
927,46400,-3.4174
943,47200,-3.5347
959,48000,-3.4423
975,48800,-3.5274
991,49600,-3.3486
1007,50400,-3.4893
1023,51200,-3.4464
1039,52000,-3.3248
1055,52800,-3.1336
1071,53600,-3.2066
1087,54400,-3.2934
1103,55200,-3.2635
1119,56000,-3.4262
1135,56800,-3.1736
1151,57600,-2.8964
1167,58400,-3.2061
1183,59200,-3.2029
1199,60000,-2.9761
1215,60800,-2.97
1231,61600,-3.2496
1247,62400,-2.928
1263,63200,-2.8034
1279,64000,-2.8971
1295,64800,-2.9446
1311,65600,-3.0948
1327,66400,-2.8178
1343,67200,-3.0864
1359,68000,-3.1169
1375,68800,-3.0615
1391,69600,-2.9226
1407,70400,-3.0077
1423,71200,-2.9142
1439,72000,-2.819
1455,72800,-3.1121
1471,73600,-2.7179
1487,74400,-2.9707
1503,75200,-2.7768
1519,76000,-2.7763
1535,76800,-2.9838
1551,77600,-2.9604
1567,78400,-2.8492
1583,79200,-2.8163
1599,80000,-2.8236
1615,80800,-2.6056
1631,81600,-2.6318
1647,82400,-2.7819
1663,83200,-2.8215
1679,84000,-2.5791
1695,84800,-2.7359
1711,85600,-2.5014
1727,86400,-2.6306
1743,87200,-2.7684
1759,88000,-2.6263
1775,88800,-2.8096
1791,89600,-2.4593
1807,90400,-2.8492
1823,91200,-2.7634
1839,92000,-2.6977
1855,92800,-2.7236
1871,93600,-2.7688
1887,94400,-2.6081
1903,95200,-2.9221
1919,96000,-2.673
1935,96800,-2.7996
1951,97600,-2.9619
1967,98400,-2.7072
1983,99200,-2.7328
1999,100000,-2.8506
