episode,timestep,reward
99,2000,0.9096
197,4000,1.173
294,6000,2.3371
389,8000,1.7685
483,10000,3.2812
580,12000,3.8426
671,14000,4.5943
760,16000,5.9644
851,18000,6.8894
943,20000,7.165
1032,22000,7.9225
1123,24000,7.6652
1208,26000,8.9146
1293,28000,9.2541
1369,30000,11.7448
1453,32000,9.6366
1529,34000,11.2955
1607,36000,9.7226
1683,38000,12.2298
1760,40000,12.0125
1837,42000,11.5984
1901,44000,16.0684
1965,46000,16.2137
2024,48000,18.0234
2084,50000,18.4016
2138,52000,20.7995
2190,54000,23.0821
2240,56000,22.6842
2292,58000,22.8472
2341,60000,23.7545
2390,62000,24.7632
2436,64000,25.9443
2478,66000,28.5504
2521,68000,27.0356
2564,70000,28.0951
2601,72000,32.3531
2638,74000,34.4959
2675,76000,33.8301
2711,78000,38.0571
2747,80000,34.7638
2782,82000,39.7527
2818,84000,37.6234
2842,86000,49.415
2872,88000,41.0829
2896,90000,49.5897
2922,92000,48.0327
2947,94000,50.3275
2968,96000,56.0952
2989,98000,59.6484
3010,100000,56.8133
3033,102000,65.1008
3052,104000,65.7114
3072,106000,64.5263
3093,108000,61.6122
3107,110000,72.0532
3123,112000,69.6305
3140,114000,74.4715
3150,116000,91.7513
3162,118000,98.1005
3172,120000,97.9464
3179,122000,86.9716
3185,124000,225.9064
3192,126000,116.7467
3197,128000,175.6965
3206,130000,144.7832
3213,132000,154.9233
3221,134000,113.6963
3230,136000,135.0692
3235,138000,223.109
3239,140000,235.0655
3243,142000,278.1092
3250,144000,134.8534
3252,146000,514.6362
3256,148000,202.9243
3260,150000,350.7503
3264,152000,235.4403
3267,154000,389.9381
3271,156000,259.9886
3275,158000,231.4923
3279,160000,254.6793
3283,162000,340.25
3285,164000,546.0906
3288,166000,348.257
3290,168000,438.5475
3293,170000,391.989
3296,172000,395.5637
3300,174000,324.1165
3302,176000,559.5976
3306,178000,308.8077
3309,180000,335.0403
3313,182000,218.0054
3315,184000,584.6442
3318,186000,464.9975
3321,188000,431.3562
3323,190000,602.2627
3327,192000,244.574
3330,194000,477.696
3332,196000,572.1656
3334,198000,566.024
3337,200000,364.5682
3339,202000,585.2462
3341,204000,634.8329
3343,206000,580.017
3346,208000,291.5088
3349,210000,445.4518
3351,212000,466.4056
3355,214000,372.1275
3357,216000,599.2541
3359,218000,378.8013
3362,220000,417.7431
3364,222000,600.6987
3366,224000,597.6216
3368,226000,633.1209
3371,228000,506.5585
3373,230000,505.8553
3377,232000,381.9576
3379,234000,408.2096
3383,236000,412.5067
3385,238000,662.1029
3387,240000,670.387
3390,242000,411.6999
3394,244000,269.5058
3397,246000,470.999
3401,248000,327.9619
3404,250000,380.2429
3406,252000,662.9011
3408,254000,473.264
3410,256000,661.1076
3412,258000,662.0952
3414,260000,701.6696
3417,262000,500.7954
3420,264000,465.3182
3422,266000,673.1397
3424,268000,695.454
3426,270000,631.0574
3428,272000,688.6052
3432,274000,463.5146
3434,276000,650.8563
3436,278000,710.9161
3438,280000,704.1031
3440,282000,471.9497
3444,284000,396.1325
3447,286000,542.4237
3449,288000,715.5754
3451,290000,715.6452
3453,292000,706.7004
3455,294000,520.3974
3457,296000,724.9733
3459,298000,724.7944
3461,300000,699.0893
3463,302000,723.0469
3465,304000,706.8815
3467,306000,729.1157
3470,308000,513.2189
3472,310000,628.2695
3474,312000,759.709
3476,314000,733.9003
3479,316000,579.3676
3482,318000,534.5778
3484,320000,774.3762
3486,322000,772.3212
3488,324000,515.9612
3490,326000,719.6747
3492,328000,754.9396
3495,330000,696.4882
