episode,timestep,reward
194,2000,21.5341
391,4000,21.1912
569,6000,22.2233
734,8000,22.6656
899,10000,22.8373
1054,12000,23.2564
1183,14000,24.9238
1298,16000,25.8988
1409,18000,26.6876
1514,20000,27.0124
1593,22000,32.3448
1685,24000,29.2905
1753,26000,34.2321
1824,28000,33.4304
1880,30000,40.7741
1935,32000,39.5121
1985,34000,47.2092
2034,36000,45.2883
2077,38000,51.2158
2123,40000,46.7452
2162,42000,54.1499
2206,44000,48.2298
2246,46000,54.8048
2288,48000,53.397
2327,50000,55.94
2364,52000,57.6053
2402,54000,58.1741
2440,56000,58.5049
2476,58000,60.5154
2511,60000,61.3749
2549,62000,58.2634
2581,64000,65.3372
2617,66000,63.1277
2652,68000,64.5716
2686,70000,65.1035
2722,72000,61.8343
2754,74000,70.7802
2788,76000,64.3935
2823,78000,68.2701
2857,80000,69.1884
2890,82000,67.6815
2920,84000,71.2581
2953,86000,73.2024
2986,88000,75.6494
3015,90000,77.8885
3048,92000,71.4611
3076,94000,82.1905
3107,96000,78.0742
3131,98000,86.6519
3157,100000,87.0665
3185,102000,86.5762
3211,104000,88.3034
3234,106000,104.4427
3256,108000,99.9829
3280,110000,94.0689
3305,112000,95.3357
3329,114000,97.7507
3359,116000,90.2912
3379,118000,108.355
3396,120000,111.2467
3421,122000,101.422
3445,124000,101.0156
3467,126000,106.0087
3492,128000,100.4164
3515,130000,107.3778
3542,132000,100.1085
3567,134000,104.2406
3587,136000,116.5573
3610,138000,103.7554
3635,140000,109.9673
3660,142000,103.3571
3675,144000,124.9438
3694,146000,127.8495
3716,148000,107.1003
3735,150000,114.5971
3757,152000,109.079
3774,154000,129.4646
3791,156000,122.8279
3808,158000,125.845
3824,160000,127.2526
3838,162000,134.8625
3853,164000,138.2892
3874,166000,111.2903
3895,168000,119.4984
3915,170000,117.773
3933,172000,121.4785
3953,174000,116.0941
3976,176000,109.7382
3999,178000,109.1847
4022,180000,110.0969
4035,182000,147.7692
4058,184000,115.7222
4078,186000,119.2322
4088,188000,159.8254
4103,190000,117.84
4122,192000,132.8677
4138,194000,131.1227
4160,196000,113.8271
4182,198000,108.5721
4203,200000,112.6068
4219,202000,119.4183
4236,204000,146.9567
4254,206000,127.6419
4278,208000,109.0906
4300,210000,111.6264
4320,212000,122.4781
4336,214000,129.395
4352,216000,130.6968
4370,218000,120.1832
4395,220000,120.2642
4416,222000,119.4107
4431,224000,134.8637
4450,226000,124.6743
4460,228000,171.479
4473,230000,154.3759
4493,232000,122.0191
4513,234000,115.7926
4531,236000,134.8583
4555,238000,114.2609
4580,240000,108.774
4602,242000,120.9618
4621,244000,123.8873
4643,246000,113.3587
4665,248000,104.0869
4686,250000,126.6364
4707,252000,118.9525
4732,254000,124.82
4756,256000,118.9452
4779,258000,122.3275
4803,260000,124.6544
4825,262000,119.4235
4848,264000,125.9219
4869,266000,123.9435
4890,268000,127.4173
4912,270000,124.2057
4937,272000,118.2289
4955,274000,129.2335
4979,276000,121.4646
5003,278000,123.7661
5022,280000,129.3447
5037,282000,147.3858
5058,284000,127.6842
5082,286000,123.3267
5104,288000,126.5795
5124,290000,120.3651
5146,292000,133.2546
5168,294000,122.4029
5192,296000,119.2837
5216,298000,125.6601
5238,300000,124.8359
5260,302000,129.742
5282,304000,126.7328
5303,306000,125.541
5316,308000,155.6033
5339,310000,127.5853
5363,312000,127.4015
5386,314000,125.2802
5410,316000,122.1601
