episode,timestep,reward
166,2000,14.7927
337,4000,14.7358
485,6000,15.7842
635,8000,15.5405
769,10000,16.6674
891,12000,17.494
997,14000,19.0005
1118,16000,17.6671
1207,18000,21.9474
1299,20000,21.2086
1373,22000,24.1814
1447,24000,24.0602
1498,26000,30.9925
1558,28000,27.7729
1606,30000,33.504
1649,32000,37.3764
1687,34000,39.9566
1720,36000,46.1927
1752,38000,47.2069
1780,40000,51.8848
1811,42000,49.3778
1842,44000,50.1933
1867,46000,57.8456
1893,48000,54.2959
1918,50000,53.6306
1946,52000,51.7908
1971,54000,55.714
1994,56000,64.949
2017,58000,63.1643
2038,60000,61.7562
2062,62000,57.9679
2090,64000,58.8096
2119,66000,57.9906
2144,68000,59.018
2170,70000,66.2496
2196,72000,65.5563
2223,74000,69.5301
2248,76000,61.9737
2274,78000,64.2591
2299,80000,64.846
2325,82000,64.0127
2348,84000,65.7245
2378,86000,64.8383
2404,88000,66.6007
2431,90000,68.2681
2457,92000,60.8187
2483,94000,60.076
2508,96000,60.1139
2532,98000,66.4288
2558,100000,71.9265
2582,102000,67.8107
2608,104000,68.4187
2633,106000,75.8964
2657,108000,67.5027
2683,110000,70.1039
2707,112000,72.6485
2730,114000,64.0049
2753,116000,73.6566
2778,118000,73.8606
2800,120000,79.9702
2826,122000,71.9109
2850,124000,75.4893
2876,126000,71.4526
2900,128000,72.5228
2926,130000,75.4376
2950,132000,76.3559
2977,134000,67.9771
3005,136000,71.0468
3032,138000,69.949
3056,140000,75.4612
3080,142000,77.7556
3107,144000,66.3347
3130,146000,75.3413
3154,148000,76.1001
3179,150000,78.3065
3207,152000,69.5768
3228,154000,87.3564
3254,156000,75.1237
3275,158000,82.7398
3301,160000,75.6069
3324,162000,77.3643
3347,164000,78.4118
3373,166000,76.5377
3399,168000,76.4972
3423,170000,80.66
3443,172000,84.0212
3467,174000,80.203
3490,176000,81.8856
3512,178000,82.4655
3536,180000,81.2253
3557,182000,83.2848
3577,184000,94.5734
3599,186000,86.4169
3622,188000,78.8045
3642,190000,90.0222
3665,192000,73.9115
3687,194000,90.5072
3706,196000,87.3526
3727,198000,87.5421
3748,200000,78.6669
3773,202000,83.3458
3796,204000,78.557
3817,206000,95.2177
3840,208000,83.5947
3855,210000,112.5429
3877,212000,84.3644
3899,214000,84.4413
3922,216000,84.4125
3939,218000,99.5783
3964,220000,80.811
3982,222000,92.3271
3995,224000,112.2798
4007,226000,130.7537
4029,228000,92.6896
4039,230000,143.9401
4056,232000,105.105
4063,234000,218.1486
4075,236000,109.5583
4092,238000,130.5879
4113,240000,92.2847
4134,242000,95.554
4153,244000,99.7499
4174,246000,102.1382
4188,248000,121.2084
4211,250000,81.076
4220,252000,173.3053
4236,254000,100.0838
4242,256000,178.9817
4251,258000,181.1313
4263,260000,158.3508
4274,262000,174.8544
4288,264000,115.9444
4302,266000,152.2739
4313,268000,153.3974
4329,270000,118.2322
4344,272000,121.7663
4355,274000,146.2398
4365,276000,180.6182
4373,278000,184.9116
4387,280000,154.215
4398,282000,163.3584
4406,284000,180.6533
4421,286000,144.323
4430,288000,177.9554
4446,290000,137.9399
4460,292000,129.3772
4478,294000,111.8798
4494,296000,129.9594
4507,298000,150.343
4520,300000,137.4479
4535,302000,140.232
4547,304000,153.5659
4555,306000,202.8334
4565,308000,164.0865
4577,310000,158.8727
4587,312000,170.0251
4600,314000,141.1979
4610,316000,179.3949
4618,318000,236.8561
4627,320000,197.7378
4641,322000,140.4504
4647,324000,223.4921
4658,326000,164.4346
4672,328000,155.9528
4679,330000,223.6828
4686,332000,240.6141
4701,334000,131.0823
4710,336000,183.5606
4719,338000,170.4468
4724,340000,360.2593
4730,342000,260.1579
4737,344000,224.9342
4745,346000,191.3524
4750,348000,213.1553
4755,350000,370.7617
4761,352000,230.0045
4768,354000,281.6232
4783,356000,129.2036
4790,358000,193.14
4800,360000,197.3419
4812,362000,170.9368
4823,364000,172.3086
4835,366000,149.8352
4851,368000,123.9186
4862,370000,145.5904
4871,372000,204.7956
4885,374000,141.639
4897,376000,158.7693
4909,378000,140.0852
4921,380000,158.5973
4934,382000,151.4462
4946,384000,147.6485
4955,386000,178.6459
4963,388000,206.7588
4970,390000,270.4854
4980,392000,175.2205
4989,394000,195.2986
5002,396000,156.778
5010,398000,186.582
5022,400000,166.5177
5032,402000,176.2426
5042,404000,185.7618
5053,406000,165.3916
5058,408000,320.4617
5074,410000,129.2195
5084,412000,143.0698
5095,414000,162.4663
5109,416000,170.5677
5113,418000,373.5519
5130,420000,118.028
5137,422000,235.0943
5142,424000,282.0517
5149,426000,248.8156
5157,428000,224.0718
5165,430000,195.8728
5172,432000,242.7435
5178,434000,248.7572
5194,436000,130.1549
5203,438000,170.3076
5210,440000,271.182
5222,442000,157.7746
5232,444000,180.527
5246,446000,130.882
5257,448000,178.9846
5272,450000,131.4202
5286,452000,141.5168
5294,454000,210.6761
5306,456000,178.5366
5317,458000,168.3055
5327,460000,181.4667
5334,462000,250.8185
5345,464000,172.0242
5353,466000,224.1109
5363,468000,161.4095
5375,470000,176.7593
5386,472000,166.6753
5395,474000,193.2304
5406,476000,194.6883
5416,478000,162.8984
5422,480000,302.7606
5429,482000,242.9031
5435,484000,261.7751
5441,486000,296.8872
5450,488000,215.7377
5459,490000,178.1865
5465,492000,293.9732
5476,494000,164.3151
5487,496000,188.9966
5495,498000,201.3805
5501,500000,304.5909
5504,502000,348.9006
5511,504000,274.2363
5518,506000,279.5128
5523,508000,251.9016
5529,510000,306.9706
5533,512000,417.4259
5539,514000,310.1376
5543,516000,311.6338
5548,518000,438.3305
5554,520000,306.9623
5559,522000,339.4445
5566,524000,239.5142
5570,526000,318.0019
5578,528000,251.4079
5580,530000,610.6237
5584,532000,543.301
5596,534000,147.7901
5600,536000,473.7484
5608,538000,217.7591
5616,540000,173.8319
5623,542000,321.4768
5628,544000,311.7574
5637,546000,218.3198
5647,548000,187.8625
5653,550000,288.1363
5663,552000,226.4967
5673,554000,193.0871
5678,556000,286.6581
5684,558000,338.6729
5688,560000,375.0151
5692,562000,420.051
5699,564000,262.198
5709,566000,213.4384
5716,568000,220.883
5722,570000,269.2342
5727,572000,316.3098
5730,574000,528.7967
5733,576000,648.6879
5735,578000,636.3434
5740,580000,390.2238
5745,582000,344.2675
5756,584000,184.8635
5763,586000,234.4597
5769,588000,259.7604
5773,590000,389.3399
5780,592000,260.1713
5785,594000,369.576
5788,596000,554.65
5793,598000,363.9265
5797,600000,397.9143
5805,602000,165.4591
5813,604000,281.3387
5823,606000,185.524
5826,608000,417.834
5831,610000,439.7608
5840,612000,216.0744
5844,614000,396.7132
5851,616000,224.9537
5859,618000,212.7152
5863,620000,493.2168
5866,622000,417.2826
5871,624000,404.6158
5877,626000,288.655
5882,628000,328.6769
5892,630000,167.6082
5897,632000,324.0463
5901,634000,477.8798
5906,636000,269.9372
5909,638000,601.3716
5912,640000,497.181
5919,642000,304.7857
5923,644000,348.7887
5938,646000,162.3961
5947,648000,154.92
5953,650000,242.1518
5959,652000,360.1184
5964,654000,358.414
5974,656000,170.6836
5977,658000,592.9696
5981,660000,412.1523
